id,question,answer,link
1,Đang chích ngừa viêm gan B có chích ngừa Covid-19 được không?,"Nếu anh/chị đang tiêm ngừa vaccine phòng bệnh viêm gan B, anh/chị vẫn có thể tiêm phòng vaccine phòng Covid-19, tuy nhiên vaccine Covid-19 phải được tiêm cách trước và sau mũi vaccine viêm gan B tối thiểu là 14 ngày.",https://vnexpress.net/tu-van-tiem-vaccine-covid-19-an-toan-hieu-qua-p57
2,"Đau đầu, căng thẳng do công việc, suy giảm trí nhớ khoảng gần một năm phải làm sao?","Tình trạng đau đầu theo bạn mô tả thì chưa rõ. Vì thế, bác sĩ khuyến khích bạn đến cơ sở y tế hoặc bệnh viện thuộc Hệ thống Y tế Vinmec để khám chuyên khoa Thần kinh. Nếu đau đầu thông thường thì cần nghỉ ngơi thư giãn sẽ đỡ, còn nếu có những yếu tố khác thì cần phải khám kỹ, xét nghiệm cận lâm sàng để chẩn đoán chính xác hơn và có hướng điều trị phù hợp.",https://www.vinmec.com/vi/suc-khoe-tong-quat/tu-van-bac-si/dau-dau-cang-thang-do-cong-viec-suy-giam-tri-nho-khoang-gan-mot-nam-phai-lam-sao/
3,Đặt lưu lượng khí hệ thống Jackson-Rees thấp hơn quy định khi sử dụng gây mê cho trẻ em sẽ gây hậu quả gì?,"Hệ thống Jackson – Rees dùng khi gây mê để tránh hít lại khí thở ra cần đặt lưu lượng khí mới gấp 2 – 2,5 lần thông khí phút của bệnh nhân. Nếu cài đặt thấp hơn mức này sẽ gây ra hiện tượng ưu thán hay còn gọi là thừa khí CO2 biểu hiện kích thích vã mồ hôi, tăng huyết áp, nguy hiểm hơn là bệnh nhân tím tái, trụy tim mạch, thậm chí là tử vong.Nếu còn thắc mắc, bạn có thể liên hệ hoặc đến trực tiếp một trong các bệnh viện thuộc Hệ thống Y tế Vinmec trên toàn quốc để được bác sĩ chuyên môn tư vấn cụ thể hơn.Cảm ơn bạn đã tin tưởng và đặt câu hỏi tới Vinmec. Trân trọng!",https://www.vinmec.com/vi/suc-khoe-tong-quat/tu-van-bac-si/dat-luu-luong-khi-he-thong-jackson-rees-thap-hon-quy-dinh-khi-su-dung-gay-me-cho-tre-em-se-gay-hau-qua-gi-/
4,Bé 13 tháng tuổi uống thuốc Acyclovir có được không?,"Acyclovir có thể sử dụng cho cả trẻ dưới 13 tháng nếu có chỉ định. Tuy nhiên, Acyclovir là thuốc kê đơn, bạn không nên tự ý sử dụng thuốc nếu không có chỉ định của bác sĩ",https://www.vinmec.com/vi/suc-khoe-tong-quat/tu-van-bac-si/be-13-thang-tuoi-uong-thuoc-acyclovir-co-duoc-khong/
5,"Vừa qua ngày 4/6 tôi có bị con chó ở nhà cắn xước ngoài da và tôi đã đến trung tâm y tế để tiêm ngừa dại. Lịch tiêm ngừa là 5 mũi vaccine ABHAYRAB 0,5 ml các ngày 5/6, 8/6, 12/6 và đến ngày 19/6 thì tôi đã tiêm mũi thứ tư. Mũi thứ 5 (cuối cùng) sẽ tiêm vào ngày 3/7. Nhưng nay cơ quan báo là tôi có tên trong danh sách tiêm ngừa Covid-19. Vậy xin hỏi tôi có thể bỏ tiêm mũi cuối cùng này hay không và khoảng cách giữa hai mũi tiêm ngừa dại với mũi Covid-19 là bao nhiêu ngày là bao lâu? Tôi có chút rối.","Bệnh dại là bệnh nguy hiểm và nếu có chỉ định tiêm phòng vaccine thì cần được ưu tiên tiêm trước. Khoảng cách giữa mũi vaccine Covid-19 với các vaccine khác là 14 ngày. Nếu khoảng cách với mũi cuối cùng đã hơn 14 ngày, anh/chị có thể tiêm chủng bình thường. Còn trong trường hợp chưa đủ 14 ngày, anh/chị sẽ được hoãn tiêm đến khi đủ khoảng cách.",https://vnexpress.net/tu-van-tiem-vaccine-covid-19-an-toan-hieu-qua-p21
6,Co giật chi dưới phải điều trị thế nào?,"Bệnh của bố em bệnh sử hơi phức tạp, em nên khám bác chuyên khoa phẫu thuật thần kinh để có hướng điều trị tốt nhất em nhé.",https://www.vinmec.com/vi/tin-tuc/hoi-dap-bac-si/co-giat-chi-duoi-phai-dieu-tri-nao/
7,Trẻ trên 1 tuổi bổ sung vitamin D dạng xịt nào phù hợp?,"Trẻ trên 1 tuổi có thể bổ sung vitamin D dạng xịt được, tùy theo mức độ thiếu vitamin D để bổ sung liều cho hợp lý. Loại vitamin D dạng xịt: Dlux infant vitamin D oral spray hoặc Dimaio oral spray.",https://www.vinmec.com/vi/tin-tuc/hoi-dap-bac-si/tre-tren-1-tuoi-bo-sung-vitamin-d-dang-xit-nao-phu-hop/
8,"Mệt mỏi, ngạt mũi có phải triệu chứng bệnh viêm đường hô hấp không?","Các triệu chứng bạn liệt kê ở trên hoàn toàn có thể là những dấu hiệu ban đầu của bệnh lý viêm đường hô hấp trên. Đây là một bệnh lý phổ biến trên thế giới. Đường hô hấp trên bao gồm các bộ phận đường mũi, xoang, thanh quản, hầu họng. Các bộ phận này làm nhiệm vụ dẫn không khí từ ngoài vào phế quản và đến phổi để hô hấp. Viêm đường hô hấp trên là hiện tượng nhiễm trùng một hoặc nhiều bộ phận nêu trên. Một số triệu chứng thường gặp của bệnh viêm hô hấp trên gồm: HoNghẹt mũiHắt hơiChảy nước mũiĐau rát họng, đau khi nuốtĐau đầu, mỏi cơ, sốt caoKhó thở, cay chảy nước mắt, buồn nôn, đau vùng xoang. . ít gặp hơn",https://www.vinmec.com/vi/tin-tuc/hoi-dap-bac-si/met-moi-ngat-mui-co-phai-trieu-chung-benh-viem-duong-ho-hap-khong/
9,Trẻ bị lòi búi thịt ở hậu môn có phải mắc bệnh trĩ không?,"Theo như bạn mô tả, thấy ở hậu môn bé có 1 búi lòi ra ngoài, có khả năng là búi trĩ. Cách chữa trị và khắc phục tình trạng này là tránh táo bón. Bé cần được khuyến khích uống nhiều nước, ăn rau củ quả nhuận trường, massage bụng khi đói, tập đi ngoài ngày 1 lần vào giờ cố định (kích thích hậu môn trẻ bằng tăm bông). . .",https://www.vinmec.com/vi/tin-tuc/hoi-dap-bac-si/tre-bi-loi-bui-thit-o-hau-mon-co-phai-mac-benh-tri-khong/
10,Uống thuốc tránh thai khẩn cấp chung với cà phê có tác dụng không?,"Trong câu hỏi bạn không đề cập tới tên loại thuốc tránh thai khẩn cấp đã dùng. Tuy nhiên, với 2 loại thuốc tránh thai khẩn cấp phổ biến trên thị trường hiện nay là Postinor (thành phần levonorgestrel) và Mifestad 10 mg (thành phần mifepriston) dược sĩ chưa thấy có thông tin ghi nhận việc sử dụng thuốc kèm cà phê sẽ gây giảm tác dụng của thuốc. Bạn cũng cần lưu ý rằng, ngoài tương tác, hiệu quả của thuốc còn phụ thuộc vào thời gian sử dụng thuốc kể từ khi quan hệ. Hơn nữa, dù dùng thuốc đúng theo hướng dẫn thì bạn vẫn có khả năng mang thai. Vì vậy, nếu bạn thấy chậm kinh hoặc có bất kỳ biểu hiện bất thường nào, bạn vẫn nên đi khám bác sĩ tại các cơ sở Y tế gần nhà hoặc bệnh viện thuộc Hệ thống Y tế Vinmec để được kiểm tra.",https://www.vinmec.com/vi/suc-khoe-tong-quat/tu-van-bac-si/uong-thuoc-tranh-thai-khan-cap-chung-voi-ca-phe-co-tac-dung-khong/
11,Lệch vách ngăn mũi phải làm sao?,"Vách ngăn mũi là cấu trúc gồm sụn và xương để chia hốc mũi làm hai bên. Thông thường ai cũng có sự lệch vách ngăn mũi ở mức độ nhất định và đa số không phải can thiệp phẫu thuật. Trong trường hợp vách ngăn mũi lệch nhiều, làm hẹp hốc mũi, gây ngạt mũi, viêm mũi kéo dài, gây viêm xoang, đau nửa đầu thì cần can thiệp phẫu thuật.",https://www.vinmec.com/vi/suc-khoe-tong-quat/tu-van-bac-si/lech-vach-ngan-mui-phai-lam-sao/
12,"Em đang điều trị ARV được 3 năm và CD4 ổn định ~500 (theo em hiểu đây cũng được xếp vào bệnh nền), tải lượng dưới ngưỡng phát hiện.Nhiều báo chính thống cũng lưu ý rằng nếu bệnh nền đang được điều trị ổn định (không phải giai đoạn tiến triển nặng và giai đoạn cuối) thì vẫn tiêm vaccine Covid-19 như người bình thường. Kính mong bác sĩ tư vấn và xác nhận thông tin có đúng không? Và khi tiêm tại cơ sở y tế thì cần mang kết quả CD4 hay giấy tờ gi để được tiêm?","Đúng là một số bệnh lý tim mạch, hô hấp. . . mãn tính mà điều trị ổn định có thể tiêm vaccine Covid-19, còn trong trường hợp tiền sử bệnh lý suy giảm miễn dịch như của anh sẽ phải tạm hoãn tiêm chủng, chờ hướng dẫn tiếp theo của Bộ Y tế. Chúc anh sức khỏe!",https://vnexpress.net/tu-van-tiem-vaccine-covid-19-an-toan-hieu-qua-p123
13,"Em có tiền sử dị ứng tôm cua đồng. Trước đây, em từng cấp cứu do ăn hai con tôm đồng bị dị ứng cả bên trong và bên ngoài dẫn đến người bị khó thở, bị giật liên tục và bị lạnh hết người. Em cũng không biết đó có phải là sốc phản vệ không nhưng bác sĩ cấp cứu mãi mới qua được. Đó là cách đây 10 năm.Sau khi sinh, em ăn canh cua đồng bình thường, còn từ đó đến giờ không bao giờ ăn tôm đồng nữa nên không biết còn dị ứng với tôm không. Em cũng không thấy bị dị ứng với gì nữa, nhưng với tôm đồng do chưa ăn lại nên không biết còn bị dị ứng với tôm không. Vậy bác sĩ cho em hỏi,tuần tới em tiêm vaccine Covid-19 có ảnh hưởng gì không ạ?","Đã dị ứng từ lâu tuy nhiên theo như mức độ dị ứng của bạn mô tả là dị ứng nặng (phản vệ độ 2 trở lên). Vì vậy, bạn thuộc đối tượng chống chỉ định tiêm vaccine Covid-19 theo hướng dẫn của Bộ Y tế. Mặc dù bạn không được tiêm chủng vaccine Covid-19 nhưng bạn có thể chủ động phòng dịch bằng cách chủ động thực hiện nghiêm túc thông điệp 5K của Chính phủ.",https://vnexpress.net/tu-van-tiem-vaccine-covid-19-an-toan-hieu-qua-p84
14,Đau tức cơ bắp khớp chân tay do virus HIV giai đoạn cửa sổ xử lý thế nào?,"Thông thường đối với viêm thần kinh ngoại biên hay sử dụng vitamin nhóm B để bổ sung hằng ngày. Tuy nhiên, bạn đang nói bệnh nhân bị đau tức cơ bắp khớp chân tay do virus HIV giai đoạn cửa sổ.",https://www.vinmec.com/vi/tin-tuc/hoi-dap-bac-si/dau-tuc-co-bap-khop-chan-tay-do-virus-hiv-giai-doan-cua-so-xu-ly-the-nao/
15,Tôi bị viêm gan siêu vi B mãn tính có tiêm được vaccine Covid-19 không?,Bệnh viêm gan B mạn tính trong giai đoạn ổn định thì vẫn tiêm được vaccine Covid-19. Anh/chị sẽ cung cấp đầy đủ các thông tin về bệnh lý để bác sĩ khám sàng lọc sẽ đánh giá tình trạng sức khỏe và tư vấn cụ thể hơn.,https://vnexpress.net/tu-van-tiem-vaccine-covid-19-an-toan-hieu-qua-p115
16,Phần lòng trắng mắt có nhiều tia máu đỏ là dấu hiệu bệnh gì?,"Mắt đỏ là biểu của nhiều bệnh lý như: Viêm kết mạc, khô mắt, mộng mắt,... hoặc cũng có thể do bẩm sinh. Nếu do bẩm sinh không gây ảnh hưởng đến chức năng thì không cần can thiệp gì nhưng nếu do bệnh lý thì tùy theo từng bệnh sẽ cần được điều trị bằng các phương pháp khác nhau. Phần lòng trắng của bạn có nhiều tia máu tuy không đau nhưng nếu đỏ thường xuyên như vậy thì bạn đến khám chuyên khoa Mắt để tìm nguyên nhân từ đó mới có phương pháp điều trị phù hợp nhất.",https://www.vinmec.com/vi/suc-khoe-tong-quat/tu-van-bac-si/phan-long-trang-mat-co-nhieu-tia-mau-do-la-dau-hieu-benh-gi/
17,Xét nghiệm PCR tủy là gì?,"Bác sĩ hiểu là bạn đang hỏi PCR dịch não tủy, vì đây là chỉ định xét nghiệm phổ biến hơn rất nhiều so với PCR tủy xương. Xét nghiệm PCR dịch não tủy thì cần phải chọc và hút được dịch não tủy, sau đó dịch não tủy sẽ được làm xét nghiệm hóa sinh để kiểm tra các tính chất của dịch não tủy, xét nghiệm tế bào học phát hiện các tế bào trong dịch não tủy và PCR dịch não tủy để tìm ra căn nguyên vi khuẩn, virus gây viêm não, viêm màng não tủy bạn nhé!Trong hầu hết các trường hợp, chọc dò tủy sống không gây vấn đề gì hay biến chứng nguy hiểm. Nguy cơ bị nhiễm trùng từ thủ thuật này cũng rất hiếm xảy ra và được giảm đáng kể vì bác sĩ đã dùng thuốc sát trùng để lau sạch lưng của người bệnh trước khi thực hiện thủ thuật. Bệnh nhân đôi khi có thể bị đau lưng dưới nhẹ sau khi chọc tủy giống như vết bầm, nhưng thường sẽ tự hết. Một tác dụng phụ thông thường khác có thể gặp, đó là nhức đầu. Nếu bệnh nhân bị chứng rối loạn xuất huyết thì có nguy cơ bị chảy máu, gây tổn hại dây thần kinh và cột sống, tuy nhiên trường hợp này thì rất hiếm gặp.",https://www.vinmec.com/vi/tin-tuc/hoi-dap-bac-si/xet-nghiem-pcr-tuy-la-gi/
